Date,SPY_Close,actual_future_return,predicted_return,prediction_error,absolute_error,SPY_momentum_5d,SPY_momentum_10d,VIX_current,VIX_change_1d,VIX_change_5d,SPY_volume_change_1d,SPY_volume_change_5d,trading_signal,correct_direction,VIX_level
2005-01-18,81.28240966796875,-0.010462416959581167,0.00036027093006329455,0.010822687889644462,0.010822687889644462,0.003949325749924348,-0.006899694039831039,12.47,0.0032180209171359664,-0.057445200302343125,0.3654124784393029,0.014645538715032602,BUY,False,Low
2005-01-19,80.43199920654297,-0.006090748173349425,0.0008254504417259732,0.006916198615075399,0.006916198615075399,0.00033827322950252814,-0.005133070177847476,13.18,0.05693664795509212,-0.0007581501137224889,-0.05249539567568129,-0.13820667927105834,BUY,False,Low
2005-01-20,79.94210815429688,-0.006127500102117045,0.0010204455324321717,0.007147945634549216,0.007147945634549216,-0.009024275669448523,-0.004321882874522509,13.83,0.04931714719271629,0.10111464968152872,0.3249495668356661,-0.009229859530668794,BUY,False,Low
2005-01-21,79.45226287841797,-0.0019691823490510796,0.0006370609673426368,0.002606243316393716,0.002606243316393716,-0.007141567340784194,-0.015429183096716703,14.36,0.03832248734634858,0.11838006230529596,-0.12337246857360173,0.13725680846275035,BUY,False,Low
2005-01-24,79.29580688476562,0.00283129968268514,0.0006097351854400961,-0.002221564497245044,0.002221564497245044,-0.014292552192146535,-0.015957205074796477,14.65,0.020194986072423537,0.1786001609010459,-0.07470661997074113,0.39039790638196625,BUY,True,Low
2005-01-25,79.52031707763672,0.002994371904828208,0.00082051771265443,-0.002173854192173778,0.002173854192173778,-0.02167864606290615,-0.017814936348101496,14.06,-0.04027303754266209,0.12750601443464316,0.1677409529806526,0.18910922659548324,BUY,True,Low
2005-01-26,79.75843048095703,0.0017063166718274125,0.00043572248129153884,-0.0012705941905358736,0.0012705941905358736,-0.008374387460595933,-0.008038947062184776,13.44,-0.04409672830725464,0.019726858877086473,-0.1619151586196791,0.051788469424721706,BUY,True,Low
2005-01-27,79.89452362060547,0.0,0.0005382304777833914,0.0005382304777833914,0.0005382304777833914,-0.0005952374135488325,-0.00961414149648876,13.24,-0.014880952380952328,-0.04266088214027475,-0.023014209259184737,-0.2244366010495591,BUY,False,Low
2005-01-28,79.89452362060547,0.00621623415347794,0.00034874662485039163,-0.005867487528627548,0.005867487528627548,0.005566370625142092,-0.0016149493263052372,13.24,0.0,-0.07799442896935926,0.08697574035233391,-0.03833889589046302,BUY,True,Low
2005-01-31,80.39116668701172,0.006347233865023227,-0.00016072037482406403,-0.006507954239847291,0.006507954239847291,0.013813590469391235,-0.0006763931854998351,12.82,-0.031722054380664666,-0.12491467576791804,-0.13510616754666283,-0.10111238683205026,SELL,False,Low
2005-02-01,80.90142822265625,0.0030276562083879632,-0.00041895326628384286,-0.003446609474671806,0.003446609474671806,0.017368028646957523,-0.004687132761796442,12.03,-0.06162246489859602,-0.14438122332859182,-0.05123475473371819,-0.2696725034801084,SELL,False,Low
2005-02-02,81.14636993408203,-0.0025994693314236317,-0.00029094917050693136,0.0023085201609167,0.0023085201609167,0.017401789939389234,0.008881673147332902,11.66,-0.03075644222776386,-0.13244047619047616,0.05272144330393336,-0.08263295282288163,SELL,True,Low
2005-02-03,80.93543243408203,0.010675627893411255,0.0001733634519156518,-0.010502264441495603,0.010502264441495603,0.013028537705782162,0.012425545219147072,11.79,0.011149228130360012,-0.10951661631419951,-0.06921814636861079,-0.12601738047345323,BUY,True,Low
